Phi[deg],Theta[deg],GainTotal
-84,12,5.90855
-82,12,5.85837
-80,12,5.80879
-78,12,5.75986
-76,12,5.71166
-74,12,5.66427
-72,12,5.61773
-70,12,5.57211
-68,12,5.52749
-66,12,5.4839
-64,12,5.44141
-62,12,5.40007
-60,12,5.35992
-58,12,5.32102
-56,12,5.28341
-54,12,5.24713
-52,12,5.21221
-50,12,5.17869
-48,12,5.14661
-46,12,5.11598
-44,12,5.08683
-42,12,5.05919
-40,12,5.03307
-38,12,5.0085
-36,12,4.98547
-34,12,4.964
-32,12,4.94411
-30,12,4.92578
-28,12,4.90902
-26,12,4.89384
-24,12,4.88023
-22,12,4.86818
-20,12,4.85768
-18,12,4.84872
-16,12,4.8413
-14,12,4.8354
-12,12,4.831
-10,12,4.82808
-8,12,4.82664
-6,12,4.82665
-4,12,4.82809
-2,12,4.83095
0,12,4.8352
2,12,4.84083
4,12,4.84781
6,12,4.85612
8,12,4.86575
10,12,4.87668
12,12,4.88888
14,12,4.90235
16,12,4.91705
18,12,4.93299
20,12,4.95013
22,12,4.96848
24,12,4.98801
26,12,5.00871
28,12,5.03057
30,12,5.05358
32,12,5.07774
34,12,5.10302
36,12,5.12944
38,12,5.15696
40,12,5.1856
42,12,5.21534
44,12,5.24617
46,12,5.27809
48,12,5.31109
50,12,5.34516
52,12,5.38029
54,12,5.41647
56,12,5.45369
58,12,5.49194
60,12,5.5312
62,12,5.57144
64,12,5.61266
66,12,5.65483
68,12,5.69792
70,12,5.7419
72,12,5.78675
74,12,5.83243
76,12,5.8789
78,12,5.92611
80,12,5.97403
82,12,6.0226
84,12,6.07176
86,12,6.12147
88,12,6.17166
90,12,6.22226
92,12,6.27321
94,12,6.32443
96,12,6.37584
98,12,6.42738
100,12,6.47894
102,12,6.53046
104,12,6.58184
106,12,6.63298
108,12,6.68381
110,12,6.73421
112,12,6.78411
114,12,6.83341
116,12,6.882
118,12,6.92979
120,12,6.9767
122,12,7.02262
124,12,7.06748
126,12,7.11117
128,12,7.15361
130,12,7.19473
132,12,7.23445
134,12,7.27269
136,12,7.30938
138,12,7.34447
140,12,7.37789
142,12,7.4096
144,12,7.43955
146,12,7.46769
148,12,7.49401
150,12,7.51846
152,12,7.54102
154,12,7.56169
156,12,7.58045
158,12,7.59729
160,12,7.61221
162,12,7.62522
164,12,7.63633
166,12,7.64553
168,12,7.65286
170,12,7.65832
172,12,7.66194
174,12,7.66372
176,12,7.66369
178,12,7.66188
180,12,7.6583
-180,14,7.61056
-178,14,7.60406
-176,14,7.59577
-174,14,7.58572
-172,14,7.57393
-170,14,7.56043
-168,14,7.54522
-166,14,7.52834
-164,14,7.50978
-162,14,7.48955
-160,14,7.46767
-158,14,7.44413
-156,14,7.41895
-154,14,7.39213
-152,14,7.36367
-150,14,7.33357
-148,14,7.30185
-146,14,7.26852
-144,14,7.23359
-142,14,7.19707
-140,14,7.15899
-138,14,7.11937
-136,14,7.07824
-134,14,7.03564
-132,14,6.9916
-130,14,6.94618
-128,14,6.89942
-126,14,6.85137
-124,14,6.80211
-122,14,6.75169
-120,14,6.70019
-118,14,6.64767
-116,14,6.59423
-114,14,6.53993
-112,14,6.48487
-110,14,6.42913
-108,14,6.3728
-106,14,6.31597
-104,14,6.25875
-102,14,6.20121
-100,14,6.14346
-98,14,6.08559
-96,14,6.02769
-94,14,5.96986
-92,14,5.9122
-90,14,5.8548
-88,14,5.79774
-86,14,5.74111
-84,14,5.68502
-82,14,5.62953
-80,14,5.57475
-78,14,5.52073
-76,14,5.46758
-74,14,5.41536
-72,14,5.36415
-70,14,5.31402
-68,14,5.26503
-66,14,5.21726
-64,14,5.17076
-62,14,5.12559
-60,14,5.08181
-58,14,5.03946
-56,14,4.9986
-54,14,4.95927
-52,14,4.9215
-50,14,4.88534
-48,14,4.85081
-46,14,4.81795
-44,14,4.78677
-42,14,4.7573
-40,14,4.72956
-38,14,4.70355
-36,14,4.67929
-34,14,4.65677
-32,14,4.63601
-30,14,4.61701
-28,14,4.59974
-26,14,4.58422
-24,14,4.57042
-22,14,4.55833
-20,14,4.54794
-18,14,4.53923
-16,14,4.53217
-14,14,4.52675
-12,14,4.52294
-10,14,4.52071
-8,14,4.52004
-6,14,4.5209
-4,14,4.52327
-2,14,4.5271
0,14,4.53239
2,14,4.53909
4,14,4.54718
6,14,4.55664
8,14,4.56744
10,14,4.57955
12,14,4.59295
14,14,4.60761
16,14,4.62353
18,14,4.64068
20,14,4.65904
22,14,4.6786
24,14,4.69935
26,14,4.72127
28,14,4.74436
30,14,4.76862
32,14,4.79404
34,14,4.82061
36,14,4.84833
38,14,4.87721
40,14,4.90724
42,14,4.93843
44,14,4.97078
46,14,5.00429
48,14,5.03896
50,14,5.0748
52,14,5.11182
54,14,5.15
56,14,5.18934
58,14,5.22986
60,14,5.27153
62,14,5.31435
64,14,5.35832
66,14,5.40341
68,14,5.4496
70,14,5.49689
72,14,5.54524
74,14,5.59461
76,14,5.64498
78,14,5.6963
80,14,5.74854
82,14,5.80162
84,14,5.85551
86,14,5.91014
88,14,5.96544
90,14,6.02134
92,14,6.07776
94,14,6.13462
96,14,6.19182
98,14,6.24927
100,14,6.30688
102,14,6.36454
104,14,6.42214
106,14,6.47957
108,14,6.53671
110,14,6.59346
112,14,6.64968
114,14,6.70527
116,14,6.76009
118,14,6.81402
120,14,6.86695
